dataset,seed,model,calibration,shift,severity,temperature,n_test,accuracy,mean_confidence,confidence_gap,ece,brier,nll,aurc
Breast Cancer,0,Random Forest,Temperature scaled,Feature masking,0.3,1.020665286945125,114,0.956140350877193,0.8587985809206883,-0.09734176995650468,0.10626381461384074,0.09473559364080857,0.19711387286840903,0.010758224350107959
Breast Cancer,0,Random Forest,Raw,Feature masking,0.4,1.020665286945125,114,0.9736842105263158,0.823527276524645,-0.15015693400167085,0.15073354218880536,0.10483250928471972,0.22326497090598837,0.006243886703933677
Breast Cancer,0,Random Forest,Temperature scaled,Feature masking,0.4,1.020665286945125,114,0.9736842105263158,0.8199189916162026,-0.1537652189101132,0.1543301609057905,0.10702077553342124,0.22729754268362454,0.006243886703933677
Breast Cancer,0,Random Forest,Raw,Feature masking,0.5,1.020665286945125,114,0.9385964912280702,0.7948413951545531,-0.1437550960735171,0.14557238930659977,0.14373332483311452,0.27535899266587643,0.011067345754829342
Breast Cancer,0,Random Forest,Temperature scaled,Feature masking,0.5,1.020665286945125,114,0.9385964912280702,0.7912116465579268,-0.14738484467014346,0.1491654129796968,0.14591019392240034,0.27921889586058657,0.011067345754829342
Breast Cancer,0,Gradient Boosting,Raw,Gaussian noise,0.0,1.360795240918518,114,0.956140350877193,0.9726826939861888,0.016542343108995827,0.031054102313888998,0.05656099355432103,0.08451192363226567,0.002269881675608284
Breast Cancer,0,Gradient Boosting,Temperature scaled,Gaussian noise,0.0,1.360795240918518,114,0.956140350877193,0.9594220385713391,0.0032816876941461626,0.038440126692293894,0.053514244489674095,0.08566952690879127,0.002269881675608284
Breast Cancer,0,Gradient Boosting,Raw,Gaussian noise,0.25,1.360795240918518,114,0.9385964912280702,0.9638531998616414,0.025256708633571212,0.041238226627525236,0.08019525324128132,0.11723490642891247,0.003813940818165823
Breast Cancer,0,Gradient Boosting,Temperature scaled,Gaussian noise,0.25,1.360795240918518,114,0.9385964912280702,0.9464357561843149,0.007839264956244651,0.04426578565204629,0.07515015586466464,0.11727480849222112,0.003813940818165823
Breast Cancer,0,Gradient Boosting,Raw,Gaussian noise,0.5,1.360795240918518,114,0.9210526315789473,0.9375663488093722,0.01651371723042483,0.05848138243849855,0.12432259539945852,0.21850372635225812,0.016657450061464418
Breast Cancer,0,Gradient Boosting,Temperature scaled,Gaussian noise,0.5,1.360795240918518,114,0.9210526315789473,0.9139274323632662,-0.007125199215681111,0.03767199419753178,0.12227746916717691,0.20790648754886853,0.016657450061464418
Breast Cancer,0,Gradient Boosting,Raw,Gaussian noise,1.0,1.360795240918518,114,0.8859649122807017,0.9182528813202697,0.03228796903956799,0.061889792437774295,0.17953942143781282,0.3136271064610065,0.034797788919758696
Breast Cancer,0,Gradient Boosting,Temperature scaled,Gaussian noise,1.0,1.360795240918518,114,0.8859649122807017,0.8853456761354662,-0.0006192361452355133,0.04644447634967019,0.17668586526859353,0.2944767279096851,0.034797788919758696
Breast Cancer,0,Gradient Boosting,Raw,Gaussian noise,1.5,1.360795240918518,114,0.7105263157894737,0.8801133781096494,0.16958706232017573,0.20134548938877236,0.386498620304436,0.5991215234077797,0.10952024677842029
Breast Cancer,0,Gradient Boosting,Temperature scaled,Gaussian noise,1.5,1.360795240918518,114,0.7105263157894737,0.8393859845180164,0.1288596687285427,0.14710734029840286,0.3579890814133721,0.5269796998878382,0.10952024677842029
Breast Cancer,0,Gradient Boosting,Raw,Gaussian noise,2.0,1.360795240918518,114,0.6929824561403509,0.8518767771192003,0.15889432097884937,0.16666868113210098,0.40546789167587166,0.6462320395304025,0.1498396584010666
Breast Cancer,0,Gradient Boosting,Temperature scaled,Gaussian noise,2.0,1.360795240918518,114,0.6929824561403509,0.811046144338064,0.11806368819771307,0.12099853210089971,0.3807122972396518,0.5724277443378586,0.1498396584010666
Breast Cancer,0,Gradient Boosting,Raw,Feature masking,0.0,1.360795240918518,114,0.956140350877193,0.9726826939861888,0.016542343108995827,0.031054102313888998,0.05656099355432103,0.08451192363226567,0.002269881675608284
Breast Cancer,0,Gradient Boosting,Temperature scaled,Feature masking,0.0,1.360795240918518,114,0.956140350877193,0.9594220385713391,0.0032816876941461626,0.038440126692293894,0.053514244489674095,0.08566952690879127,0.002269881675608284
Breast Cancer,0,Gradient Boosting,Raw,Feature masking,0.1,1.360795240918518,114,0.9473684210526315,0.9664100644134967,0.019041643360865224,0.03565443301296503,0.06234809699670153,0.09238918658423399,0.002711087853077173
Breast Cancer,0,Gradient Boosting,Temperature scaled,Feature masking,0.1,1.360795240918518,114,0.9473684210526315,0.9498783895021589,0.0025099684495273333,0.043229496171358926,0.05947310432586858,0.09710635385159795,0.002711087853077173
Breast Cancer,0,Gradient Boosting,Raw,Feature masking,0.2,1.360795240918518,114,0.9649122807017544,0.9713013405634793,0.006389059861724888,0.01699727576717607,0.04699108237686604,0.08389821245703716,0.002688602864278262
Breast Cancer,0,Gradient Boosting,Temperature scaled,Feature masking,0.2,1.360795240918518,114,0.9649122807017544,0.9515902258314438,-0.013322054870310573,0.030865576593008447,0.047651386122714544,0.09204833343676368,0.002688602864278262
Breast Cancer,0,Gradient Boosting,Raw,Feature masking,0.3,1.360795240918518,114,0.9473684210526315,0.9569493907407367,0.009580969688105179,0.039314233119774264,0.07288381868306891,0.12999476669342283,0.006297308545624888
Breast Cancer,0,Gradient Boosting,Temperature scaled,Feature masking,0.3,1.360795240918518,114,0.9473684210526315,0.9326590839692382,-0.014709337083393281,0.04834853422403306,0.0736856142957581,0.13619668252682618,0.006297308545624888
Breast Cancer,0,Gradient Boosting,Raw,Feature masking,0.4,1.360795240918518,114,0.956140350877193,0.9483977041724524,-0.007742646704740563,0.036629081971571276,0.0581435498605889,0.09585199623989077,0.0025113244850536688
Breast Cancer,0,Gradient Boosting,Temperature scaled,Feature masking,0.4,1.360795240918518,114,0.956140350877193,0.9208922568005214,-0.03524809407667151,0.055423618281809375,0.061155629535417304,0.11735072725998237,0.0025113244850536688
Breast Cancer,0,Gradient Boosting,Raw,Feature masking,0.5,1.360795240918518,114,0.9649122807017544,0.9192734197533262,-0.04563886094842817,0.061125567263206844,0.08289219508559889,0.15253583241879884,0.00812293989637335
Breast Cancer,0,Gradient Boosting,Temperature scaled,Feature masking,0.5,1.360795240918518,114,0.9649122807017544,0.8840046496019015,-0.08090763109985288,0.08804556932990883,0.09334762427225575,0.17806212294762064,0.00812293989637335
Breast Cancer,1,Logistic Regression,Raw,Gaussian noise,0.0,1.0202465820156168,114,0.9649122807017544,0.9652161855218171,0.0003039048200627059,0.03627569931895077,0.05870966697225898,0.10018758399384446,0.0031286324390624883
Breast Cancer,1,Logistic Regression,Temperature scaled,Gaussian noise,0.0,1.0202465820156168,114,0.9649122807017544,0.9644836234880663,-0.0004286572136881217,0.035781935930086994,0.058649389122527616,0.09985978507017924,0.0031286324390624883
Breast Cancer,1,Logistic Regression,Raw,Gaussian noise,0.25,1.0202465820156168,114,0.9649122807017544,0.9701116993130137,0.005199418611259277,0.022816300209996254,0.05917088267560491,0.09781820448842012,0.002751178554918721
Breast Cancer,1,Logistic Regression,Temperature scaled,Gaussian noise,0.25,1.0202465820156168,114,0.9649122807017544,0.9693534049956763,0.004441124293921961,0.024591725419376036,0.05906238978123186,0.09743569165677696,0.002751178554918721
Breast Cancer,1,Logistic Regression,Raw,Gaussian noise,0.5,1.0202465820156168,114,0.9385964912280702,0.9719510762448824,0.03335458501681221,0.043068129494580214,0.07876127787435697,0.12542203281127548,0.003960288725651905
Breast Cancer,1,Logistic Regression,Temperature scaled,Gaussian noise,0.5,1.0202465820156168,114,0.9385964912280702,0.9712027508018648,0.032606259573794594,0.04731724070195812,0.07839033629278493,0.1244376999775489,0.003960288725651905
Breast Cancer,1,Logistic Regression,Raw,Gaussian noise,1.0,1.0202465820156168,114,0.956140350877193,0.9478972594042903,-0.008243091472902697,0.04344245852781944,0.08519968572088694,0.15733261136012833,0.008781259741689987
Breast Cancer,1,Logistic Regression,Temperature scaled,Gaussian noise,1.0,1.0202465820156168,114,0.956140350877193,0.9467966080875434,-0.009343742789649556,0.047709774353717864,0.08529902567561014,0.15672420762190972,0.008781259741689987
Breast Cancer,1,Logistic Regression,Raw,Gaussian noise,1.5,1.0202465820156168,114,0.8596491228070176,0.9620559763819512,0.10240685357493362,0.12710565311947278,0.26335855973024835,0.6274966422074894,0.050911106440714476
Breast Cancer,1,Logistic Regression,Temperature scaled,Gaussian noise,1.5,1.0202465820156168,114,0.8596491228070176,0.9610087625130977,0.1013596397060802,0.12653837422282638,0.26283899755208306,0.6171126864273898,0.050911106440714476
Breast Cancer,1,Logistic Regression,Raw,Gaussian noise,2.0,1.0202465820156168,114,0.7894736842105263,0.9631204843504365,0.17364680013991018,0.18803792603832273,0.39788267868990795,1.279839241421643,0.1036242199462092
Breast Cancer,1,Logistic Regression,Temperature scaled,Gaussian noise,2.0,1.0202465820156168,114,0.7894736842105263,0.9622265881599648,0.17275290394943843,0.18963939402420152,0.3974022459559777,1.2563347820151467,0.1036242199462092
Breast Cancer,1,Logistic Regression,Raw,Feature masking,0.0,1.0202465820156168,114,0.9649122807017544,0.9652161855218171,0.0003039048200627059,0.03627569931895077,0.05870966697225898,0.10018758399384446,0.0031286324390624883
Breast Cancer,1,Logistic Regression,Temperature scaled,Feature masking,0.0,1.0202465820156168,114,0.9649122807017544,0.9644836234880663,-0.0004286572136881217,0.035781935930086994,0.058649389122527616,0.09985978507017924,0.0031286324390624883
Breast Cancer,1,Logistic Regression,Raw,Feature masking,0.1,1.0202465820156168,114,0.9385964912280702,0.9645071468745156,0.025910655646445346,0.02849907639248879,0.06861614924857969,0.11207353338797689,0.00403787518833839
Breast Cancer,1,Logistic Regression,Temperature scaled,Feature masking,0.1,1.0202465820156168,114,0.9385964912280702,0.9635461813119753,0.02494969008390513,0.032355823712200645,0.06839282831580099,0.11175348371065534,0.00403787518833839
Breast Cancer,1,Logistic Regression,Raw,Feature masking,0.2,1.0202465820156168,114,0.9473684210526315,0.9575103407211618,0.010141919668530286,0.02317993254392815,0.06834851603463843,0.11087301922324504,0.003886064270588541
Breast Cancer,1,Logistic Regression,Temperature scaled,Feature masking,0.2,1.0202465820156168,114,0.9473684210526315,0.9562924114341858,0.008923990381554225,0.023624267921977193,0.06824345470531826,0.11102570733426684,0.003886064270588541
Breast Cancer,1,Logistic Regression,Raw,Feature masking,0.3,1.0202465820156168,114,0.956140350877193,0.9541850021655685,-0.001955348711624505,0.028048797664614763,0.07914719880733247,0.15835844706334895,0.011344764464695567
Breast Cancer,1,Logistic Regression,Temperature scaled,Feature masking,0.3,1.0202465820156168,114,0.956140350877193,0.952871474874563,-0.003268876002629928,0.01714330797438204,0.07918780466353773,0.15774696729285625,0.011344764464695567
Breast Cancer,1,Logistic Regression,Raw,Feature masking,0.4,1.0202465820156168,114,0.9385964912280702,0.918998801632742,-0.01959768959532826,0.04459167209351769,0.07860985790558002,0.13453328485448748,0.0045870966075138315
Breast Cancer,1,Logistic Regression,Temperature scaled,Feature masking,0.4,1.0202465820156168,114,0.9385964912280702,0.9173052309678568,-0.02129126026021344,0.045866939436150334,0.07897128011439442,0.13576226321936558,0.0045870966075138315
Breast Cancer,1,Logistic Regression,Raw,Feature masking,0.5,1.0202465820156168,114,0.9385964912280702,0.9304027929094313,-0.00819369831863892,0.042032383830216256,0.0876867385632153,0.1527223530706263,0.007479247504383304
