dataset,seed,model,severity,n_test,n_errors,accuracy,confidence_all,confidence_correct,confidence_error,margin_all,margin_correct,margin_error,high_confidence_error_rate,vote_agreement,vote_agreement_error,vote_entropy,vote_entropy_error,disagreement_confidence_correlation
Breast Cancer,2,Random Forest,1.0,114,10,0.9122807017543859,0.7480190476190477,0.7608429487179488,0.6146504761904762,0.4960380952380952,0.5216858974358975,0.22930095238095233,0.0,0.739263157894737,0.6176,0.7500259017663187,0.9382935644725248,-0.9667310646520204
Breast Cancer,2,Random Forest,1.5,114,20,0.8245614035087719,0.673613575605681,0.6945151975683891,0.5753759523809523,0.3472271512113617,0.3890303951367782,0.15075190476190475,0.0,0.6784912280701753,0.6164,0.8447077068444739,0.9464890332435651,-0.9467116144570769
Breast Cancer,2,Random Forest,2.0,114,32,0.7192982456140351,0.663154887218045,0.6889681765389083,0.5970083333333334,0.3263097744360903,0.3779363530778165,0.19401666666666664,0.0,0.6704912280701755,0.627875,0.8638195047516636,0.930788313993904,-0.9361381417704259
Breast Cancer,2,Gradient Boosting,0.0,114,4,0.9649122807017544,0.9805447003751042,0.9851179185416933,0.8547812007939077,6.214423104466948,6.347530418183322,2.5539719772666833,0.5,,,,,
Breast Cancer,2,Gradient Boosting,0.25,114,7,0.9385964912280702,0.9738331672563325,0.9849546355523868,0.8038335804452175,5.782214611239708,6.043625545158495,1.7863617641954175,0.2857142857142857,,,,,
Breast Cancer,2,Gradient Boosting,0.5,114,7,0.9385964912280702,0.958722572235533,0.9702609587223331,0.7823500930801622,5.030209394760753,5.224126139855678,2.066053434024032,0.42857142857142855,,,,,
Breast Cancer,2,Gradient Boosting,1.0,114,15,0.868421052631579,0.9066185124178764,0.9220719382771125,0.8046259017469181,3.543531370452508,3.7921768917607386,1.9024709298181786,0.3333333333333333,,,,,
Breast Cancer,2,Gradient Boosting,1.5,114,25,0.7807017543859649,0.8744914918193663,0.8991759261512067,0.7866149055980144,2.9078146471552158,3.283670566030856,1.5697675759579348,0.32,,,,,
Breast Cancer,2,Gradient Boosting,2.0,114,27,0.7631578947368421,0.8512429177475487,0.877898846482201,0.7653515918247803,2.6588438418419718,2.9395311846931276,1.7544068482104678,0.3333333333333333,,,,,
Breast Cancer,3,Logistic Regression,0.0,114,2,0.9824561403508771,0.9708425767066908,0.9753027752103263,0.721071460503103,7.755136041991178,7.8719893820900495,1.2113489964542952,0.5,,,,,
Breast Cancer,3,Logistic Regression,0.25,114,3,0.9736842105263158,0.9681156294049095,0.9736634337366803,0.7628468691293877,7.762830144398165,7.933789445468751,1.4373360047865311,0.3333333333333333,,,,,
Breast Cancer,3,Logistic Regression,0.5,114,4,0.9649122807017544,0.9684827056758214,0.9733767617568438,0.8338961634476998,7.733387608153009,7.95186778068552,1.7251828635089403,0.25,,,,,
Breast Cancer,3,Logistic Regression,1.0,114,7,0.9385964912280702,0.9715111517496029,0.9765380735556367,0.8946710612859439,8.61490141993803,8.98582285133997,2.945102397079824,0.7142857142857143,,,,,
Breast Cancer,3,Logistic Regression,1.5,114,13,0.8859649122807017,0.9618167714768361,0.9828700818526391,0.7982487447109812,8.669821142417284,9.404991571281615,2.958112425855954,0.38461538461538464,,,,,
Breast Cancer,3,Logistic Regression,2.0,114,23,0.7982456140350878,0.9591112670863118,0.9726479549195544,0.9055530673982656,9.27207266524584,10.674563269546391,3.7230881004045244,0.782608695652174,,,,,
Breast Cancer,3,Random Forest,0.0,114,4,0.9649122807017544,0.9436765246449457,0.9495956709956709,0.7808999999999999,0.8873530492898914,0.899191341991342,0.5618,0.25,0.9411578947368421,0.772,0.22456269059848494,0.7123715723348891,-0.9872727410578137
Breast Cancer,3,Random Forest,0.25,114,4,0.9649122807017544,0.91810291005291,0.9226874314574316,0.7920285714285715,0.83620582010582,0.8453748629148629,0.5840571428571429,0.25,0.9126315789473683,0.784,0.32786497298573464,0.6839528138311268,-0.9855616027920994
