dataset,seed,model,calibration,shift,severity,temperature,n_test,bin,bin_lower,bin_upper,count,bin_confidence,bin_accuracy
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.3,0.6230715891594052,114,12,0.8,0.8666666666666667,7,0.8311449906577648,1.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.3,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,8,0.9063109828645087,1.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.3,0.6230715891594052,114,14,0.9333333333333333,1.0,88,0.988898798595812,0.9886363636363636
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.3,0.6230715891594052,114,7,0.4666666666666667,0.5333333333333333,2,0.5135138490540185,0.5
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.3,0.6230715891594052,114,8,0.5333333333333333,0.6,1,0.5784386367571377,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.3,0.6230715891594052,114,9,0.6,0.6666666666666666,2,0.6349411896919228,0.5
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.3,0.6230715891594052,114,10,0.6666666666666666,0.7333333333333333,5,0.7160157371260858,0.6
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.3,0.6230715891594052,114,12,0.8,0.8666666666666667,1,0.8510485159312439,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.3,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,5,0.9188564437298046,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.3,0.6230715891594052,114,14,0.9333333333333333,1.0,98,0.9955550690569751,0.9897959183673469
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.4,0.6230715891594052,114,8,0.5333333333333333,0.6,5,0.5736990716712062,0.4
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.4,0.6230715891594052,114,9,0.6,0.6666666666666666,2,0.6223643729590347,1.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.4,0.6230715891594052,114,10,0.6666666666666666,0.7333333333333333,5,0.6972224318742584,0.6
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.4,0.6230715891594052,114,11,0.7333333333333333,0.8,4,0.7517733137993774,1.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.4,0.6230715891594052,114,12,0.8,0.8666666666666667,4,0.830156339672934,0.75
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.4,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,12,0.9006422470075793,1.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.4,0.6230715891594052,114,14,0.9333333333333333,1.0,82,0.9856709276377809,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.4,0.6230715891594052,114,8,0.5333333333333333,0.6,1,0.5666775562558821,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.4,0.6230715891594052,114,9,0.6,0.6666666666666666,5,0.6366346461897503,0.4
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.4,0.6230715891594052,114,10,0.6666666666666666,0.7333333333333333,1,0.7137150142864139,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.4,0.6230715891594052,114,11,0.7333333333333333,0.8,3,0.7768493564123751,0.6666666666666666
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.4,0.6230715891594052,114,12,0.8,0.8666666666666667,5,0.8309857183961633,0.8
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.4,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,5,0.9201153973245833,0.8
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.4,0.6230715891594052,114,14,0.9333333333333333,1.0,94,0.9945704005092787,1.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.5,0.6230715891594052,114,7,0.4666666666666667,0.5333333333333333,1,0.5296058032426323,1.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.5,0.6230715891594052,114,8,0.5333333333333333,0.6,5,0.5690834428358004,0.8
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.5,0.6230715891594052,114,9,0.6,0.6666666666666666,5,0.6412662461576586,0.8
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.5,0.6230715891594052,114,10,0.6666666666666666,0.7333333333333333,4,0.7020428644131755,0.5
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.5,0.6230715891594052,114,11,0.7333333333333333,0.8,4,0.7803811785960809,1.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.5,0.6230715891594052,114,12,0.8,0.8666666666666667,8,0.8487206121034389,0.75
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.5,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,18,0.9073253628245751,1.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.5,0.6230715891594052,114,14,0.9333333333333333,1.0,69,0.9805516445277719,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.5,0.6230715891594052,114,8,0.5333333333333333,0.6,2,0.5541015869635058,0.5
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.5,0.6230715891594052,114,9,0.6,0.6666666666666666,4,0.6217350835532093,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.5,0.6230715891594052,114,10,0.6666666666666666,0.7333333333333333,3,0.6997231914968115,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.5,0.6230715891594052,114,11,0.7333333333333333,0.8,4,0.7601689813257834,0.5
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.5,0.6230715891594052,114,12,0.8,0.8666666666666667,2,0.818253645950453,0.5
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.5,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,5,0.8893073216972894,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.5,0.6230715891594052,114,14,0.9333333333333333,1.0,94,0.9887182170630191,0.9787234042553191
Breast Cancer,0,Random Forest,Raw,Gaussian noise,0.0,1.020665286945125,114,7,0.4666666666666667,0.5333333333333333,1,0.5057999999999999,0.0
Breast Cancer,0,Random Forest,Raw,Gaussian noise,0.0,1.020665286945125,114,8,0.5333333333333333,0.6,4,0.5573666666666667,0.75
Breast Cancer,0,Random Forest,Raw,Gaussian noise,0.0,1.020665286945125,114,9,0.6,0.6666666666666666,5,0.6285438095238096,0.6
Breast Cancer,0,Random Forest,Raw,Gaussian noise,0.0,1.020665286945125,114,11,0.7333333333333333,0.8,3,0.7791,1.0
Breast Cancer,0,Random Forest,Raw,Gaussian noise,0.0,1.020665286945125,114,12,0.8,0.8666666666666667,4,0.8345702380952381,1.0
Breast Cancer,0,Random Forest,Raw,Gaussian noise,0.0,1.020665286945125,114,13,0.8666666666666667,0.9333333333333333,9,0.9009111111111111,0.8888888888888888
Breast Cancer,0,Random Forest,Raw,Gaussian noise,0.0,1.020665286945125,114,14,0.9333333333333333,1.0,88,0.9896808441555373,1.0
Breast Cancer,0,Random Forest,Temperature scaled,Gaussian noise,0.0,1.020665286945125,114,7,0.4666666666666667,0.5333333333333333,1,0.5056825783165825,0.0
Breast Cancer,0,Random Forest,Temperature scaled,Gaussian noise,0.0,1.020665286945125,114,8,0.5333333333333333,0.6,4,0.5562172094467414,0.75
